# Gould-Bucko 2016 (arXiv:1604.02751) benchmark static dipole polarizabilities alpha(0) in a0^3
# element  charge  alpha0_bohr3
Ag  -1     501.0000
Ag  +0      46.2000
Ag  +1      20.0000
Al  -1     109.0000
Al  +0      57.5000
Al  +1      19.6000
Ar  +0      11.1000
Ar  +1       7.2800
As  -1      40.0000
As  +0      29.6000
As  +1      16.4000
At  -1      54.5000
At  +0      30.4000
At  +1      20.2000
Au  -1     387.0000
Au  +0      45.4000
Au  +1      24.0000
B   -1      32.9000
B   +0      20.5000
B   +1       9.6700
Ba  +0     278.0000
Ba  +1     121.0000
Be  +0      37.7000
Be  +1      24.5000
Bi  -1     103.0000
Bi  +0      43.2000
Bi  +1      25.2000
Br  -1      42.8000
Br  +0      21.6000
Br  +1      13.6000
C   -1      15.5000
C   +0      11.7000
C   +1       5.6600
Ca  +0     160.0000
Ca  +1      75.5000
Cd  -1     863.0000
Cd  +0      46.7000
Cd  +1      23.1000
Ce  -1       4.0200
Ce  +0     205.0000
Ce  +1      89.1000
Cl  -1      30.3000
Cl  +0      14.7000
Cl  +1       9.2700
Co  -1      59.8000
Co  +0      53.9000
Co  +1      20.6000
Cr  -1      83.5000
Cr  +0      78.4000
Cr  +1      38.2000
Cs  -1    2480.0000
Cs  +0     396.0000
Cs  +1      15.0000
Cu  -1     500.0000
Cu  +0      41.7000
Cu  +1      17.6000
Dy  -1      10.5000
Dy  +0     163.0000
Dy  +1      68.6000
Er  -1      11.6000
Er  +0     150.0000
Er  +1      63.0000
Eu  -1       8.0800
Eu  +0     184.0000
Eu  +1      78.1000
F   -1      15.0000
F   +0       3.6000
F   +1       1.7800
Fe  -1      66.5000
Fe  +0      60.4000
Fe  +1      23.2000
Ga  -1     103.0000
Ga  +0      52.1000
Ga  +1      15.2000
Gd  -1       8.0800
Gd  +0     158.0000
Gd  +1      67.2000
Ge  -1      63.3000
Ge  +0      40.2000
Ge  +1      18.5000
H   -1     216.0000
H   +0       4.5000
He  +0       1.3800
He  +1       0.2940
Hf  -1     236.0000
Hf  +0      83.7000
Hf  +1      47.5000
Hg  +0      33.5000
Hg  +1      17.5000
Ho  -1      11.1000
Ho  +0     156.0000
Ho  +1      65.8000
I   -1      61.7000
I   +0      33.6000
I   +1      22.1000
In  -1     133.0000
In  +0      62.1000
In  +1      20.2000
Ir  -1     381.0000
Ir  +0      51.3000
Ir  +1      27.9000
K   -1    2090.0000
K   +0     290.0000
K   +1       5.0500
Kr  +0      16.8000
Kr  +1      11.1000
La  -1     729.0000
La  +0     214.0000
La  +1      94.2000
Li  -1    1180.0000
Li  +0     164.0000
Li  +1       0.1930
Lu  -1      13.8000
Lu  +0     137.0000
Lu  +1      74.6000
Mg  +0      71.4000
Mg  +1      35.0000
Mn  -1      74.7000
Mn  +0      66.8000
Mn  +1      25.8000
Mo  -1     100.0000
Mo  +0      87.1000
Mo  +1      47.6000
N   -1       8.0400
N   +0       7.2500
N   +1       3.6800
Na  -1    1310.0000
Na  +0     163.0000
Na  +1       0.9300
Nb  -1     114.0000
Nb  +0      97.9000
Nb  +1      55.3000
Nd  -1       5.5700
Nd  +0     209.0000
Nd  +1      89.6000
Ne  +0       2.6700
Ne  +1       1.4400
Ni  -1      54.2000
Ni  +0      48.4000
Ni  +1      18.4000
O   -1       5.4000
O   +0       5.2000
O   +1       2.5500
Os  -1     378.0000
Os  +0      55.3000
Os  +1      30.4000
P   -1      33.7000
P   +0      24.8000
P   +1      14.3000
Pb  -1     135.0000
Pb  +0      47.9000
Pb  +1      23.5000
Pd  -1      70.5000
Pd  +0      61.7000
Pd  +1      31.5000
Pm  -1       6.5000
Pm  +0     200.0000
Pm  +1      85.7000
Po  -1      73.1000
Po  +0      36.1000
Po  +1      22.9000
Pr  -1       4.8800
Pr  +0     216.0000
Pr  +1      93.4000
Pt  -1     383.0000
Pt  +0      48.0000
Pt  +1      25.8000
Rb  -1    2110.0000
Rb  +0     317.0000
Rb  +1       8.3200
Re  -1     368.0000
Re  +0      60.2000
Re  +1      33.4000
Rh  -1      75.9000
Rh  +0      66.4000
Rh  +1      34.4000
Rn  +0      32.2000
Rn  +1      22.4000
Ru  -1      82.4000
Ru  +0      72.3000
Ru  +1      37.9000
S   -1      24.1000
S   +0      19.5000
S   +1      11.9000
Sb  -1      59.6000
Sb  +0      44.0000
Sb  +1      25.5000
Sc  -1     134.0000
Sc  +0     123.0000
Sc  +1      60.0000
Se  -1      31.7000
Se  +0      26.2000
Se  +1      15.7000
Si  -1      59.6000
Si  +0      37.0000
Si  +1      18.2000
Sm  -1       7.3800
Sm  +0     192.0000
Sm  +1      81.8000
Sn  -1      89.1000
Sn  +0      60.0000
Sn  +1      29.2000
Sr  +0     198.0000
Sr  +1      90.2000
Ta  -1     206.0000
Ta  +0      73.9000
Ta  +1      42.0000
Tb  -1       9.8400
Tb  +0     170.0000
Tb  +1      71.8000
Tc  -1      90.6000
Tc  +0      79.6000
Tc  +1      32.7000
Te  -1      49.1000
Te  +0      40.0000
Te  +1      25.1000
Ti  -1     110.0000
Ti  +0     102.0000
Ti  +1      44.6000
Tl  -1     356.0000
Tl  +0      51.4000
Tl  +1      17.0000
Tm  -1      12.0000
Tm  +0     144.0000
Tm  +1      60.4000
V   -1      94.5000
V   +0      87.3000
V   +1      36.5000
W   -1     295.0000
W   +0      65.8000
W   +1      37.1000
Xe  +0      27.2000
Xe  +1      18.7000
Y   -1     175.0000
Y   +0     163.0000
Y   +1      88.1000
Yb  +0     139.0000
Yb  +1      58.0000
Zn  -1     845.0000
Zn  +0      38.4000
Zn  +1      17.9000
Zr  -1     134.0000
Zr  +0     112.0000
Zr  +1      62.0000
